person,province,party,age,gender
ZANELE LADYFAIR GUMEDE,National,MINORITY FRONT,60 and over,Female
SENPRABHA STEFANIDIS,National,MINORITY FRONT,40 - 49,Female
KUMARI PADAYACHEE,National,MINORITY FRONT,60 and over,Female
ANITHA RAMFOL,National,MINORITY FRONT,50 - 59,Female
ANSUYAHDEVI MOODLEY,National,MINORITY FRONT,60 and over,Female
SUNKLAVATHY RAJBALLY,National,MINORITY FRONT,30 - 39,Female
GANGRAJ CHETTY,National,MINORITY FRONT,50 - 59,Male
RAMACHANDRAN RAMSAMY NAIDOO,National,MINORITY FRONT,60 and over,Male
KHAYELIHLE JEREMIAH MYENDE,National,MINORITY FRONT,50 - 59,Male
MARIAM GOVENDER,National,MINORITY FRONT,60 and over,Female
RADHIA BEE SINGH,National,MINORITY FRONT,50 - 59,Female
THULKANNA PALAN,National,MINORITY FRONT,30 - 39,Male
SHANE HANSRAJ,National,MINORITY FRONT,60 and over,Male
DAVANAND SINGH,National,MINORITY FRONT,50 - 59,Male
SHRITHA BHOOLA,National,MINORITY FRONT,60 and over,Female
PATRICIA KHOMO,National,MINORITY FRONT,60 and over,Female
ANANDAN NAIDOO,National,MINORITY FRONT,50 - 59,Male
SOONILALL KALICHARAN,National,MINORITY FRONT,60 and over,Male
VANESHREE GOVENDER,National,MINORITY FRONT,60 and over,Female
NUNKUMAR RAJARAM,National,MINORITY FRONT,30 - 39,Male
MADHANLALL DASARATH,National,MINORITY FRONT,50 - 59,Male
JACOBUS TAPEDI MASEKA,National,MOVEMENT DEMOCRATIC PARTY,40 - 49,Male
RONALD RAMAJA MADIBA,National,MOVEMENT DEMOCRATIC PARTY,60 and over,Male
ASSAH MBATHA,National,NATIONAL DEMOCRATIC CONVENTION,50 - 59,Male
VUSI PETROS NSIBANDE,National,NATIONAL DEMOCRATIC CONVENTION,60 and over,Male
MALUSI ISAAC KEKANA,National,NEW VISION PARTY,50 - 59,Male
MADIMETJA JOSEPH LEFAKGOMO,National,NEW VISION PARTY,60 and over,Male
VUYANI ELLIOT MZAZA,National,NEW VISION PARTY,60 and over,Male
METSE ALPHEUS MAUPI,National,NEW VISION PARTY,60 and over,Male
KWEZI MATIKINCA,National,NEW VISION PARTY,60 and over,Male
MAEPA DAPHNEY MODIKOA,National,NEW VISION PARTY,60 and over,Female
NOMTWABELA CELIA NCUBUKA,National,NEW VISION PARTY,40 - 49,Female
MALESELA MORRIS MOKOU,National,NEW VISION PARTY,60 and over,Male
MOGAPI JERRY MNISI,National,NEW VISION PARTY,60 and over,Male
BAHLAKOTJE SELINA PHOKANE,National,NEW VISION PARTY,60 and over,Female
MATLABANE SAMSON MAKWANE,National,NEW VISION PARTY,60 and over,Male
NKGAPE DORCUS RATSOMA,National,NEW VISION PARTY,60 and over,Female
THOKO SEKE MALAPANE,National,NEW VISION PARTY,60 and over,Female
MODJADJI MELIDAH LETSOALO,National,NEW VISION PARTY,60 and over,Female
MOKGADI ROSINAH MMOLAI,National,NEW VISION PARTY,60 and over,Female
GWENDOLINE NGOAKWANA MOJODO,National,NEW VISION PARTY,60 and over,Female
MAHLATSI CLEMENT SEKUBA,National,NEW VISION PARTY,60 and over,Male
MMAKWENA LISBETH SEEMA,National,NEW VISION PARTY,60 and over,Female
PHEAHE NELSON SETJIE,National,NEW VISION PARTY,60 and over,Male
KHOMOTSO JOSEPHINA MARIBENG,National,NEW VISION PARTY,60 and over,Female
MAITE GLADYS MANOKWANA,National,NEW VISION PARTY,60 and over,Female
TLAKALE GLORIA SEKHUKHUNE,National,NEW VISION PARTY,60 and over,Female
AGOS MMUSHI MATHIBELA,National,NEW VISION PARTY,60 and over,Male
LIPIS MOIMA,National,NEW VISION PARTY,60 and over,Male
MORWANGOATO HARRY MAKOLA,National,NEW VISION PARTY,60 and over,Male
MASHILWANE ALPHEUS MAISELA,National,NEW VISION PARTY,50 - 59,Male
MASHUDU SYLVIA MABADAHANI,National,NEW VISION PARTY,60 and over,Female
MBHAZIMA ELIAS CHAVALALA,National,NEW VISION PARTY,60 and over,Male
NKHENSANI SARAH NKANYANI,National,NEW VISION PARTY,60 and over,Female
MAPHUTI DOREEN GATJANE,National,NEW VISION PARTY,60 and over,Female
MATLOU THOMAS MOLEBO,National,NEW VISION PARTY,60 and over,Male
LETLAPA MOROATSHOGE MPHAHLELE,National,PAN AFRICANIST CONGRESS OF AZANIA,60 and over,Male
WATERS TOBOTI,National,PAN AFRICANIST CONGRESS OF AZANIA,30 - 39,Male
NTSIRI SHADRACK POOE,National,PAN AFRICANIST CONGRESS OF AZANIA,60 and over,Male
TEBELLO JOSEPH MOFOKENG,National,PAN AFRICANIST CONGRESS OF AZANIA,60 and over,Male
LEHUTO LUCAS MOTHIBE,National,PAN AFRICANIST CONGRESS OF AZANIA,60 and over,Male
STEPHEN PLAATJIE,National,PAN AFRICANIST MOVEMENT,60 and over,Male
OWEN KHATHAZILE,National,PAN AFRICANIST MOVEMENT,60 and over,Male
ZIBA BONGINKOSI JIYANE,National,SOUTH AFRICAN DEMOCRATIC CONGRESS,50 - 59,Male
LUCAS MANYANE MANGOPE,National,UNITED CHRISTIAN DEMOCRATIC PARTY,less than 30,Male
MASELELWANE MARGARET SEKETE-MATOKONYANE,National,UNITED CHRISTIAN DEMOCRATIC PARTY,50 - 59,Female
JANTJIE OLEHILE MOENG,National,UNITED CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
MATHENTHANE CARL MOGOTSI,National,UNITED CHRISTIAN DEMOCRATIC PARTY,30 - 39,Male
MOKETE CROSS SHOPO,National,UNITED CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
KEAGILE ELIZABETH VANWIELIGH,National,UNITED CHRISTIAN DEMOCRATIC PARTY,40 - 49,Female
MOKONE LYDIA MOLEHE,National,UNITED CHRISTIAN DEMOCRATIC PARTY,60 and over,Female
ENNIA PITSO,National,UNITED CHRISTIAN DEMOCRATIC PARTY,60 and over,Female
SUZAN NTOMBISIBILI DHLAMINI,National,UNITED CHRISTIAN DEMOCRATIC PARTY,60 and over,Female
NTUBOY SOLOMON MOTONA,National,UNITED CHRISTIAN DEMOCRATIC PARTY,40 - 49,Male
MARIA LYDIA LETSOALO,National,UNITED CHRISTIAN DEMOCRATIC PARTY,50 - 59,Female
DADDY RAMA RAMJEE,National,UNITED CHRISTIAN DEMOCRATIC PARTY,50 - 59,Male
ROBERT KARABO SETLALEKGOSI,National,UNITED CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
KAGISHO SAMUEL WILDEBEES,National,UNITED CHRISTIAN DEMOCRATIC PARTY,40 - 49,Male
SOLOMON TSHEGOFATSO PILANE,National,UNITED CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
EUGENE BOIPELO MONNAPULA,National,UNITED CHRISTIAN DEMOCRATIC PARTY,60 and over,Male
BANTUBONKE HARRINGTON HOLOMISA,National,UNITED DEMOCRATIC MOVEMENT,50 - 59,Male
CHRISTOBEL THANDIWE NONTENJA,National,UNITED DEMOCRATIC MOVEMENT,50 - 59,Female
FARRINGTON SINDEZAMA MDUNYELWA,National,UNITED DEMOCRATIC MOVEMENT,50 - 59,Male
BONGANI RICHARD DUDUMAYO,National,UNITED DEMOCRATIC MOVEMENT,60 and over,Male
JOHN BUZANI MATETA,National,UNITED DEMOCRATIC MOVEMENT,60 and over,Male
SIMANGA BENJAMIN BHALENG,National,UNITED DEMOCRATIC MOVEMENT,60 and over,Male
LENNOX MPUMELELO NDUDE,National,UNITED DEMOCRATIC MOVEMENT,50 - 59,Male
SHAWN JOSEPH VAN DER MERWE,National,UNITED DEMOCRATIC MOVEMENT,60 and over,Male
TSIETSI DANIEL KHATI,National,UNITED DEMOCRATIC MOVEMENT,60 and over,Male
MZWANDILE MANJIYA,National,UNITED INDEPENDENT FRONT,60 and over,Male
MLIMI MONAKALI,National,UNITED INDEPENDENT FRONT,60 and over,Male
MICHAEL KGOMOTSO NTHITE,National,UNITED INDEPENDENT FRONT,60 and over,Male
PIETER WILLEM ADRIAAN MULDER,National,VRYHEIDSFRONT PLUS,50 - 59,Male
ABRAHAM PIETER OOSTHUIZEN,National,VRYHEIDSFRONT PLUS,50 - 59,Male
CORNELIUS PETRUS MULDER,National,VRYHEIDSFRONT PLUS,50 - 59,Male
PETRUS JOHANNES GROENEWALD,National,VRYHEIDSFRONT PLUS,50 - 59,Male
WILLIE DURAND SPIES,National,VRYHEIDSFRONT PLUS,60 and over,Male
FREDERIK JACOBUS VAN HEERDEN,National,VRYHEIDSFRONT PLUS,30 - 39,Male
WERNER LUDOLF WEBER,National,VRYHEIDSFRONT PLUS,40 - 49,Male
CAREL WILLEM HENDRIK BOSHOFF,National,VRYHEIDSFRONT PLUS,60 and over,Male
ANDREW FOURIE,National,VRYHEIDSFRONT PLUS,40 - 49,Male
ANDREW GERBER,National,VRYHEIDSFRONT PLUS,40 - 49,Male
EMMERENTIA FREDERIKA LANDMAN,National,VRYHEIDSFRONT PLUS,40 - 49,Female
FREDERIK JACOBUS MULDER,National,VRYHEIDSFRONT PLUS,60 and over,Male
WILLEM JACOBUS SNYMAN,National,VRYHEIDSFRONT PLUS,30 - 39,Male
ELIZABETH SNYMAN-VAN DEVENTER,National,VRYHEIDSFRONT PLUS,60 and over,Female
PIETER DANIEL UYS,National,VRYHEIDSFRONT PLUS,40 - 49,Male
CORNELIUS JACOBUS JANSEN VAN RENSBURG,National,VRYHEIDSFRONT PLUS,60 and over,Male
JOHANNES MARTHUNIS VAN NIEKERK,National,VRYHEIDSFRONT PLUS,60 and over,Male
PIETER MEY,National,VRYHEIDSFRONT PLUS,40 - 49,Male
ABRAM LE ROUX,National,VRYHEIDSFRONT PLUS,40 - 49,Male
CARL MAGNUS LÖNNGREN VENTER,National,VRYHEIDSFRONT PLUS,40 - 49,Male
ANTON DE WAAL ALBERTS,National,VRYHEIDSFRONT PLUS,60 and over,Male
KRITZINGER MEY,National,VRYHEIDSFRONT PLUS,60 and over,Male
RYKHAARD VAN JAARSVELD,National,VRYHEIDSFRONT PLUS,40 - 49,Male
MARTHA JOHANNA RICHTER,National,VRYHEIDSFRONT PLUS,40 - 49,Female
LINNETTE BADENHORST,National,VRYHEIDSFRONT PLUS,50 - 59,Female
DIRK WOUTER HOFFMAN,National,VRYHEIDSFRONT PLUS,40 - 49,Male
FERDINAND HARTZENBERG,National,VRYHEIDSFRONT PLUS,60 and over,Male
GERT STEFANUS FOUCHE,National,VRYHEIDSFRONT PLUS,40 - 49,Male
PETRUS JOHANNES BRINK,National,VRYHEIDSFRONT PLUS,40 - 49,Male
MATTHEUS JOHANNES WILLEMSE,National,VRYHEIDSFRONT PLUS,40 - 49,Male
JAMES DANIEL KEMP,National,VRYHEIDSFRONT PLUS,60 and over,Male
IGNATIUS MICHAEL GROENEWALD,National,VRYHEIDSFRONT PLUS,60 and over,Male
ELIZABETHA JOHANNA BISSCHOFF,National,VRYHEIDSFRONT PLUS,40 - 49,Female
ANJE STRIK VERWOERD,National,VRYHEIDSFRONT PLUS,60 and over,Female
PHILIPPUS ADRIAAN VAN STADEN,National,VRYHEIDSFRONT PLUS,60 and over,Male
MARIE BOSHOFF,National,VRYHEIDSFRONT PLUS,60 and over,Female
CHARLES DAWID HAWKINS,National,VRYHEIDSFRONT PLUS,40 - 49,Male
CORNELIUS PETRUS HATTINGH,National,VRYHEIDSFRONT PLUS,50 - 59,Male
JOHANNES GEYSBERTUS ROOS BORNMAN,National,VRYHEIDSFRONT PLUS,40 - 49,Male
HEDWIG GROENEWALD,National,VRYHEIDSFRONT PLUS,60 and over,Female
WOUTER WYNAND WESSELS,National,VRYHEIDSFRONT PLUS,60 and over,Male
ANSIE DU PLOOY,National,VRYHEIDSFRONT PLUS,60 and over,Female
CLAUDINA VAN WYK,National,VRYHEIDSFRONT PLUS,60 and over,Female
DOROTHEA MARIA BLIGNAUT,National,VRYHEIDSFRONT PLUS,50 - 59,Female
GERTRUIDA HILDAGAARD BOTHA,National,VRYHEIDSFRONT PLUS,50 - 59,Female
JOHAN VAN DRIMMELEN,National,VRYHEIDSFRONT PLUS,40 - 49,Male
JOHANN CHRISTIAAN BOSHOFF,National,VRYHEIDSFRONT PLUS,50 - 59,Male
ANNA DIANE CORNELIA LE ROUX,National,VRYHEIDSFRONT PLUS,50 - 59,Female
RONALD BRAND,National,VRYHEIDSFRONT PLUS,50 - 59,Male
CORNELIA NIKKE STRYDOM,National,VRYHEIDSFRONT PLUS,60 and over,Female
ZETWEE HATTINGH,National,VRYHEIDSFRONT PLUS,60 and over,Male
JOHANNES DANIËL POWELL,National,VRYHEIDSFRONT PLUS,50 - 59,Male
THEO DU TOIT,National,VRYHEIDSFRONT PLUS,50 - 59,Male
HEIDI GUDRUN WEBER,National,VRYHEIDSFRONT PLUS,60 and over,Female
IGNATIUS JACOBUS FERREIRA,National,VRYHEIDSFRONT PLUS,30 - 39,Male
BERNHARDUS JACOBUS HANEKOM,National,VRYHEIDSFRONT PLUS,60 and over,Male
CHRISTIAAN BENEKE,National,VRYHEIDSFRONT PLUS,60 and over,Male
HENDRIK GERHARDUS PISTORIUS,National,VRYHEIDSFRONT PLUS,50 - 59,Male
JOHANNES GERT HEYMAN,National,VRYHEIDSFRONT PLUS,40 - 49,Male
TAMARIN BREEDT,National,VRYHEIDSFRONT PLUS,60 and over,Female
URSULA COETZEE,National,VRYHEIDSFRONT PLUS,50 - 59,Female
PETRUS JOHANNES FOURIE,National,VRYHEIDSFRONT PLUS,40 - 49,Male
WYNAND FREDERIK VAN WYK,National,VRYHEIDSFRONT PLUS,40 - 49,Male
JOHANNES GERT ELIAS DUVENAGE,National,VRYHEIDSFRONT PLUS,40 - 49,Male
MAGRIETHA JOHANNA SNYMAN,National,VRYHEIDSFRONT PLUS,40 - 49,Female
JOHANNES THEODORUS POTGIETER,National,VRYHEIDSFRONT PLUS,40 - 49,Male
WILLEM PETRUS BOSHOFF,National,VRYHEIDSFRONT PLUS,40 - 49,Male
HANNO ALBERT DEN BOER,National,VRYHEIDSFRONT PLUS,60 and over,Male
AMANDA KLEINHANS,National,VRYHEIDSFRONT PLUS,60 and over,Female
TERTIA NICOLETTE MATTHEE,National,VRYHEIDSFRONT PLUS,60 and over,Female
HENDRIK JOHANNES JACOB COETZEE,National,VRYHEIDSFRONT PLUS,50 - 59,Male
ERNST LODEWIKUS MARAIS BOTES,National,VRYHEIDSFRONT PLUS,30 - 39,Male
BRENT JAN ALBERT COETZEE,National,VRYHEIDSFRONT PLUS,60 and over,Male
SAREL FREDERICK BOTES,National,VRYHEIDSFRONT PLUS,less than 30,Male
DAVID STEWART,National,VRYHEIDSFRONT PLUS,50 - 59,Male
FREDERIKA ROETS ROSSOUW,National,VRYHEIDSFRONT PLUS,60 and over,Female
MARIA JACOMINA CATHARINA KRUGER,National,VRYHEIDSFRONT PLUS,50 - 59,Female
DIRK JOHANNES VAN TONDER,National,VRYHEIDSFRONT PLUS,30 - 39,Male
MARIE ELIZABETH NELL,National,VRYHEIDSFRONT PLUS,50 - 59,Female
STEPHAN HARLEY,National,VRYHEIDSFRONT PLUS,40 - 49,Male
ANNEMIE JONKER,National,VRYHEIDSFRONT PLUS,60 and over,Female
PIETER DANIEL JACOBS,National,VRYHEIDSFRONT PLUS,40 - 49,Male
WILLEM ADRIAAN VAN DYK,National,VRYHEIDSFRONT PLUS,40 - 49,Male
DIEDERIK JOHANNES DAVEL,National,VRYHEIDSFRONT PLUS,50 - 59,Male
CECIL DE VILLIERS,National,VRYHEIDSFRONT PLUS,30 - 39,Male
THEUNETTE SNYMAN,National,VRYHEIDSFRONT PLUS,50 - 59,Female
PHILLIPPUS PETRUS VAN DER MERWE,National,VRYHEIDSFRONT PLUS,40 - 49,Male
JACOBUS HERCULES VAN NIEKERK,National,VRYHEIDSFRONT PLUS,50 - 59,Male
PETRUS JOHANNES VAN NIEKERK,National,VRYHEIDSFRONT PLUS,50 - 59,Male
JOHAN SNYMAN,National,VRYHEIDSFRONT PLUS,50 - 59,Male
JOHAN BOTES,National,VRYHEIDSFRONT PLUS,60 and over,Male
DANIEL JACOBUS BRINK,National,VRYHEIDSFRONT PLUS,30 - 39,Male
MARTHINUS WESSEL PRETORIUS,National,VRYHEIDSFRONT PLUS,60 and over,Male
GERRIT NOLTE,National,VRYHEIDSFRONT PLUS,40 - 49,Male
MARIUS SMUTS,National,VRYHEIDSFRONT PLUS,60 and over,Male
ROELINE VENTER,National,VRYHEIDSFRONT PLUS,60 and over,Female
FLORIS PETRUS DAFEL,National,VRYHEIDSFRONT PLUS,40 - 49,Male
ELIZABETH CATHARINA WAHL,National,VRYHEIDSFRONT PLUS,50 - 59,Female
ALAN ERIC CAWOOD,National,VRYHEIDSFRONT PLUS,60 and over,Male
HENDRIK GERHARDUS VAN DER LINDE,National,VRYHEIDSFRONT PLUS,60 and over,Male
CHARL EDUARD HERTZOG,National,VRYHEIDSFRONT PLUS,40 - 49,Male
DAVID ROUX TRUTER,National,VRYHEIDSFRONT PLUS,50 - 59,Male
DOROTHEA COROLINA DEKKER,National,VRYHEIDSFRONT PLUS,40 - 49,Female
FRANCO CAREL DE LANGE,National,VRYHEIDSFRONT PLUS,60 and over,Male
PETRUS WILHELMUS SMITH,National,VRYHEIDSFRONT PLUS,50 - 59,Male
MARTINUS HERMANUS JANSEN,National,VRYHEIDSFRONT PLUS,40 - 49,Male
WILLIAM FREDERICK EYRE,National,VRYHEIDSFRONT PLUS,40 - 49,Male
WILLEM KORNELIUS ROSSOUW,National,VRYHEIDSFRONT PLUS,50 - 59,Male
JAN WILLEM VAN DER WESTHUIZEN,National,VRYHEIDSFRONT PLUS,40 - 49,Male
GIDEON RUDOLPH DE VRIES,National,VRYHEIDSFRONT PLUS,60 and over,Male
VICTOR HUGO SMIT,National,VRYHEIDSFRONT PLUS,50 - 59,Male
FRANCOIS ALWYN SCHEEPERS,National,VRYHEIDSFRONT PLUS,50 - 59,Male
JACOB PIETER VAN DEN BERG,National,VRYHEIDSFRONT PLUS,30 - 39,Male
JOHANN FRIEDRICH WEBER,National,VRYHEIDSFRONT PLUS,60 and over,Male
BENJAMIN CHRISTIAAN SCHOONWINKEL,National,VRYHEIDSFRONT PLUS,60 and over,Male
JOHANNES URBANUS VAN DER WALT,National,VRYHEIDSFRONT PLUS,50 - 59,Male
REYNIER JOHANNES ROSSOUW,National,VRYHEIDSFRONT PLUS,60 and over,Male
DIEDERIK FRANCOIS KRUGER,National,VRYHEIDSFRONT PLUS,40 - 49,Male
CORNELIUS CASPARUS MEYER,National,VRYHEIDSFRONT PLUS,30 - 39,Male
JOHANN JORDAAN,National,VRYHEIDSFRONT PLUS,60 and over,Male
CORNELIA ELIZABETH VAN DER LINDE,National,VRYHEIDSFRONT PLUS,60 and over,Female
FLORENCE ETHEL LONGLAND,National,VRYHEIDSFRONT PLUS,50 - 59,Female
GUILLAUME FRANCOIS NEL,National,VRYHEIDSFRONT PLUS,30 - 39,Male
JACQUELINE CALITZ,National,VRYHEIDSFRONT PLUS,60 and over,Female
CHRISTOFFEL JOHANNES VILJOEN,National,VRYHEIDSFRONT PLUS,50 - 59,Male
NEIL COLBORNE,National,VRYHEIDSFRONT PLUS,60 and over,Male
PAUL ROUX WENTZEL,National,VRYHEIDSFRONT PLUS,40 - 49,Male
LOWINA CHRISTINA MATTHEUS,National,VRYHEIDSFRONT PLUS,40 - 49,Female
MARTIN GIDEON RAUTENBACH,National,VRYHEIDSFRONT PLUS,50 - 59,Male
ARTHUR LLEWELLYN ISTED NAUDÉ,National,VRYHEIDSFRONT PLUS,40 - 49,Male
PETRUS JACOBUS ARNOLDUS VAN DER MERWE,National,VRYHEIDSFRONT PLUS,40 - 49,Male
FRANCIS JOHANNES ROBBETZE,National,VRYHEIDSFRONT PLUS,50 - 59,Male
RUDI VENTER,National,VRYHEIDSFRONT PLUS,50 - 59,Male
GERHARD LOTZ,National,VRYHEIDSFRONT PLUS,60 and over,Male
JOHN PATRICK STRINGER,National,VRYHEIDSFRONT PLUS,40 - 49,Male
VICTOR WILHELM CHRISTIAN MÖHLE,National,VRYHEIDSFRONT PLUS,40 - 49,Male
CHRISTIAAN TOERIEN,National,VRYHEIDSFRONT PLUS,60 and over,Male
LUKAS CORNELIUS VAN DER MERWE,National,VRYHEIDSFRONT PLUS,60 and over,Male
JOHANNES VENTER,National,VRYHEIDSFRONT PLUS,30 - 39,Male
MARIO QUENTIN SWANEPOEL,National,VRYHEIDSFRONT PLUS,60 and over,Male
ROY MATTHEE,National,VRYHEIDSFRONT PLUS,60 and over,Male
PIETER JACOBUS LONGLAND,National,VRYHEIDSFRONT PLUS,50 - 59,Male
JACOBA FRANCINA VAN DER MERWE,National,VRYHEIDSFRONT PLUS,40 - 49,Female
MORNÉ VAN DER MERWE,National,VRYHEIDSFRONT PLUS,60 and over,Male
CORNELIUS JOHANNES VENTER,National,VRYHEIDSFRONT PLUS,40 - 49,Male
JOHANNES JURGENS KLEINHANS,National,VRYHEIDSFRONT PLUS,60 and over,Male
JAN HENDRIK JACOBUS VAN DEN BERGH,National,VRYHEIDSFRONT PLUS,50 - 59,Male
FRANCOIS KRUGER,National,VRYHEIDSFRONT PLUS,60 and over,Male
HENDRIENA MAGARETHA VAN DER MERWE,National,VRYHEIDSFRONT PLUS,40 - 49,Female
JOHANNES VREUGDENBURG,National,VRYHEIDSFRONT PLUS,30 - 39,Male
STEPHANUS TERBLANCHE,National,VRYHEIDSFRONT PLUS,50 - 59,Male
JOHANNES KOENRAAD LOUW,National,VRYHEIDSFRONT PLUS,60 and over,Male
LINDIWE NANA NGOBESE,National,WOMEN FORWARD,60 and over,Female
SARAH EDITH RUSSELL COLLINS,National,WOMEN FORWARD,60 and over,Female
TSHIFHIWA CONSTANCE NANGAMMBI,National,WOMEN FORWARD,60 and over,Female
SIBONGILE ISABEL SHEZI,National,WOMEN FORWARD,60 and over,Female
EDZISANI REGUEL MULAUDZI,National,WOMEN FORWARD,60 and over,Male
RUDZANI EMELY MADZAGADZAGA,National,WOMEN FORWARD,60 and over,Female
JEANETTE THABISENG RADEBE,National,WOMEN FORWARD,60 and over,Female
